Entity,Cases,Deaths,Daily tests,Population,GDP/Capita,Hospital beds per 1000 people,Medical doctors per 1000 people,Cases per Capita,Deaths per Capita,Tests per Capita,Positivity Rate,Death Rate,Cluster
Albania,8426482.0,171892.0,432998.0,2873457,5353.2,2.89,1.29,2.93,0.06,0.15,19.46,0.02,1
Argentina,260382731.0,6622663.0,6094735.0,44271041,9912.3,5.0,3.91,5.88,0.15,0.14,42.72,0.03,0
Armenia,24370297.0,428678.0,99658.0,2930450,4622.7,4.2,2.8,8.32,0.15,0.03,244.54,0.02,2
Australia,6789426.0,186575.0,9336541.0,24598933,55060.3,3.84,3.5,0.28,0.01,0.38,0.73,0.03,3
Austria,46441969.0,803908.0,14269635.0,8809212,50137.7,7.37,5.23,5.27,0.09,1.62,3.25,0.02,3
Bahrain,19117446.0,69819.0,2572783.0,1492584,23504.0,2.0,0.92,12.81,0.05,1.72,7.43,0.0,3
Bangladesh,100266545.0,1444745.0,4000307.0,164669751,1855.7,0.8,0.47,0.61,0.01,0.02,25.06,0.01,1
Belarus,34859695.0,273249.0,474181.0,9507875,6663.3,11.0,4.07,3.67,0.03,0.05,73.52,0.01,3
Belgium,95549299.0,4169270.0,9342460.0,11372068,46420.7,5.64,3.01,8.4,0.37,0.82,10.23,0.04,0
Bhutan,102917.0,52.0,508007.0,807610,3316.2,1.7,0.38,0.13,0.0,0.63,0.2,0.0,1
Bolivia,35010589.0,1846929.0,682841.0,11051600,3552.1,1.1,0.47,3.17,0.17,0.06,51.27,0.05,0
Bosnia and Herzegovina,15217043.0,525200.0,444682.0,3507017,6108.5,3.5,1.89,4.34,0.15,0.13,34.22,0.03,0
Bulgaria,24138615.0,879686.0,1422194.0,7075991,9828.1,7.45,4.0,3.41,0.12,0.2,16.97,0.04,0
Canada,93216440.0,3568237.0,17386997.0,36708083,46194.7,2.5,2.54,2.54,0.1,0.47,5.36,0.04,0
Cape Verde,2033114.0,20055.0,98345.0,546388,3603.8,2.1,0.79,3.72,0.04,0.18,20.67,0.01,1
Chile,134863444.0,3492618.0,9134970.0,18054726,14896.5,2.11,1.03,7.47,0.19,0.51,14.76,0.03,0
Colombia,275073370.0,7695136.0,10939036.0,49065615,6428.7,1.71,1.82,5.61,0.16,0.22,25.15,0.03,0
Costa Rica,25784581.0,325780.0,561653.0,4905769,12243.8,1.13,1.15,5.26,0.07,0.11,45.91,0.01,1
Croatia,23500740.0,446831.0,1236366.0,4125700,14936.1,5.54,3.13,5.7,0.11,0.3,19.01,0.02,3
Cuba,2843541.0,39486.0,2337041.0,11484636,8821.8,5.2,7.52,0.25,0.0,0.2,1.22,0.01,3
Cyprus,2791688.0,19115.0,2164307.0,1179551,27858.4,3.4,2.5,2.37,0.02,1.83,1.29,0.01,3
Denmark,20852621.0,294750.0,16320730.0,5769603,60170.3,2.5,3.66,3.61,0.05,2.83,1.28,0.01,3
Dominican Republic,33522136.0,539059.0,634342.0,10766998,8282.1,1.6,1.49,3.11,0.05,0.06,52.85,0.02,1
Ecuador,42843518.0,2937940.0,912262.0,16624858,6183.8,1.5,1.66,2.58,0.18,0.05,46.96,0.07,0
El Salvador,8580384.0,247813.0,496946.0,6377853,4187.3,1.3,1.6,1.35,0.04,0.08,17.27,0.03,1
Estonia,3981098.0,44904.0,919012.0,1315480,23723.3,4.69,3.43,3.03,0.03,0.7,4.33,0.01,3
Ethiopia,21025388.0,325103.0,2113808.0,104957438,855.8,0.3,0.02,0.2,0.0,0.02,9.95,0.02,1
Fiji,10886.0,399.0,23998.0,905502,6175.9,2.3,0.84,0.01,0.0,0.03,0.45,0.04,1
Finland,5897860.0,127976.0,3270457.0,5511303,48782.8,3.28,3.2,1.07,0.02,0.59,1.8,0.02,3
France,399323274.0,13762110.0,51520729.0,67118648,40493.9,5.98,3.24,5.95,0.21,0.77,7.75,0.03,0
Ghana,12607976.0,78701.0,716169.0,28833629,2202.1,0.9,0.1,0.44,0.0,0.02,17.6,0.01,1
Greece,17407983.0,548259.0,4664086.0,10760421,19582.5,4.21,6.26,1.62,0.05,0.43,3.73,0.03,3
Guatemala,25790619.0,919247.0,870737.0,16913503,4620.0,0.6,0.9,1.52,0.05,0.05,29.62,0.04,1
Hungary,37309841.0,1184202.0,3154062.0,9781127,16731.8,7.02,3.09,3.81,0.12,0.32,11.83,0.03,0
Iceland,1160381.0,5377.0,277025.0,341284,66944.8,2.91,3.79,3.4,0.02,0.81,4.19,0.0,3
India,1717153550.0,26247654.0,204644073.0,1339180127,2099.6,0.53,0.76,1.28,0.02,0.15,8.39,0.02,1
Indonesia,122650013.0,3881232.0,5688602.0,263991379,4135.6,1.04,0.2,0.46,0.01,0.02,21.56,0.03,1
Iran,201640185.0,9632423.0,5098063.0,81162788,5550.1,1.5,1.49,2.48,0.12,0.06,39.55,0.05,0
Iraq,101678063.0,2393726.0,5111254.0,38274618,5955.1,1.4,0.85,2.66,0.06,0.13,19.89,0.02,1
Ireland,21274296.0,653002.0,3479687.0,4813608,78661.0,2.96,2.96,4.42,0.14,0.72,6.11,0.03,0
Israel,78507858.0,613338.0,12853090.0,8712400,43592.1,2.99,3.58,9.01,0.07,1.48,6.11,0.01,3
Italy,300647865.0,15736288.0,39223088.0,60551416,33228.2,3.18,4.02,4.97,0.26,0.65,7.67,0.05,0
Jamaica,2130134.0,44318.0,130117.0,2890299,5582.3,1.7,0.47,0.74,0.02,0.05,16.37,0.02,1
Japan,40005750.0,695277.0,7627688.0,126785797,40246.9,13.05,2.37,0.32,0.01,0.06,5.24,0.02,3
Jordan,33653341.0,425694.0,2649644.0,9702353,4405.5,1.4,3.43,3.47,0.04,0.27,12.7,0.01,1
Kazakhstan,39455084.0,516635.0,7368312.0,18037646,9812.4,6.7,3.27,2.19,0.03,0.41,5.35,0.01,3
Kenya,14837701.0,262445.0,571950.0,49699862,1816.5,1.4,0.2,0.3,0.01,0.01,25.94,0.02,1
Kuwait,30710497.0,189887.0,1537536.0,4136528,32000.4,2.0,2.61,7.42,0.05,0.37,19.97,0.01,3
Latvia,5349307.0,92088.0,1430983.0,1940740,17828.9,5.57,3.21,2.76,0.05,0.74,3.74,0.02,3
Libya,14544121.0,220601.0,590269.0,6374616,7685.9,3.7,2.09,2.28,0.03,0.09,24.64,0.02,1
Lithuania,15363379.0,218817.0,2090256.0,2827721,19601.9,6.56,4.38,5.43,0.08,0.74,7.35,0.01,3
Luxembourg,6417648.0,77505.0,2091454.0,599449,114704.6,4.51,2.92,10.71,0.13,3.49,3.07,0.01,3
Madagascar,3835585.0,52816.0,28934.0,25570895,523.4,0.2,0.14,0.15,0.0,0.0,132.56,0.01,2
Malawi,2206727.0,66149.0,57004.0,18622104,411.6,1.3,0.02,0.12,0.0,0.0,38.71,0.03,1
Malaysia,18580121.0,95130.0,5931601.0,31624264,11414.2,1.9,1.53,0.59,0.0,0.19,3.13,0.01,1
Malta,1955701.0,27249.0,687928.0,465292,29820.6,4.49,3.91,4.2,0.06,1.48,2.84,0.01,3
Mauritania,2471645.0,59254.0,23429.0,4420184,1679.4,0.4,0.07,0.56,0.01,0.01,105.5,0.02,2
Mexico,255352556.0,24247963.0,4947309.0,129163276,9946.0,1.38,2.23,1.98,0.19,0.04,51.61,0.09,0
Mongolia,206582.0,115.0,1609563.0,3075647,4339.8,7.0,3.26,0.07,0.0,0.52,0.13,0.0,3
Morocco,59310132.0,1021470.0,5040339.0,35739580,3204.1,1.1,0.62,1.66,0.03,0.14,11.77,0.02,1
Mozambique,3868782.0,34858.0,407114.0,29668834,503.6,0.7,0.06,0.13,0.0,0.01,9.5,0.01,1
Myanmar,14882072.0,328486.0,2407793.0,53370609,1407.8,0.9,0.57,0.28,0.01,0.05,6.18,0.02,1
Namibia,3750338.0,37437.0,286580.0,2533794,4957.5,2.7,0.37,1.48,0.01,0.11,13.09,0.01,1
Nepal,37146699.0,250296.0,2118272.0,29304998,1071.1,0.3,0.6,1.27,0.01,0.07,17.54,0.01,1
New Zealand,606517.0,7470.0,1469444.0,4793900,42084.4,2.61,3.06,0.13,0.0,0.31,0.41,0.01,3
Nigeria,18705705.0,306223.0,702055.0,190886311,2229.9,0.5,0.4,0.1,0.0,0.0,26.64,0.02,1
Norway,8088434.0,104972.0,3800657.0,5282223,75419.6,3.6,4.38,1.53,0.02,0.72,2.13,0.01,3
Oman,26984683.0,264562.0,200640.0,4636262,15343.1,1.6,1.92,5.82,0.06,0.04,134.49,0.01,2
Pakistan,98566129.0,2066115.0,8464881.0,197015955,1284.7,0.6,0.98,0.5,0.01,0.04,11.64,0.02,1
Panama,41091974.0,754355.0,1881379.0,4098587,15731.0,2.3,1.59,10.03,0.18,0.46,21.84,0.02,0
Paraguay,16012701.0,329837.0,740683.0,6811297,5414.8,1.3,1.29,2.35,0.05,0.11,21.62,0.02,1
Peru,211998467.0,8073150.0,2630719.0,32165485,6977.7,1.6,1.12,6.59,0.25,0.08,80.59,0.04,0
Philippines,84405264.0,1678408.0,8162079.0,104918090,3485.1,1.0,1.11,0.8,0.02,0.08,10.34,0.02,1
Poland,158510849.0,3584122.0,9109348.0,37975841,15692.5,6.62,2.29,4.17,0.09,0.24,17.4,0.02,3
Portugal,67411309.0,1318554.0,8139165.0,10293718,23252.1,3.39,4.43,6.55,0.13,0.79,8.28,0.02,3
Qatar,35493861.0,56071.0,1468729.0,2639211,62088.1,1.2,1.96,13.45,0.02,0.56,24.17,0.0,3
Romania,84503959.0,2322896.0,4732128.0,19586539,12919.5,6.89,2.67,4.31,0.12,0.24,17.86,0.03,3
Russia,515239094.0,9151443.0,103171283.0,144495044,11585.0,8.05,3.98,3.57,0.06,0.71,4.99,0.02,3
Rwanda,1670281.0,16394.0,790831.0,12208407,820.0,1.6,0.06,0.14,0.0,0.06,2.11,0.01,1
Saudi Arabia,86586946.0,1245563.0,13554439.0,32938213,23139.8,2.7,2.57,2.63,0.04,0.41,6.39,0.01,3
Senegal,4373415.0,92481.0,391577.0,15850567,1446.8,0.3,0.07,0.28,0.01,0.02,11.17,0.02,1
Serbia,39245041.0,440026.0,2888343.0,7022268,7411.8,5.61,2.46,5.59,0.06,0.41,13.59,0.01,3
Slovakia,22871690.0,338538.0,14276614.0,5439892,19266.3,5.82,3.45,4.2,0.06,2.62,1.6,0.01,3
Slovenia,15183519.0,319567.0,1691953.0,2066748,25946.2,4.5,2.82,7.35,0.15,0.82,8.97,0.02,3
South Africa,204748091.0,5441016.0,8870526.0,56717156,6001.4,2.32,0.82,3.61,0.1,0.16,23.08,0.03,1
South Korea,10600416.0,185322.0,5887719.0,51466201,31846.2,12.27,2.33,0.21,0.0,0.11,1.8,0.02,3
Sri Lanka,5877733.0,28446.0,2079872.0,21444000,3853.1,3.6,0.88,0.27,0.0,0.1,2.83,0.0,1
Sweden,63050612.0,2101631.0,5566533.0,10067744,51615.0,2.22,4.19,6.26,0.21,0.55,11.33,0.03,0
Switzerland,59442978.0,1247537.0,4305542.0,8466017,81993.7,4.53,4.25,7.02,0.15,0.51,13.81,0.02,3
Thailand,2034146.0,20002.0,2681565.0,69037513,7806.7,2.1,0.47,0.03,0.0,0.04,0.76,0.01,1
Togo,680544.0,13285.0,233786.0,7797694,679.3,0.7,0.05,0.09,0.0,0.03,2.91,0.02,1
Trinidad and Tobago,1138218.0,20979.0,92183.0,1369125,17398.0,3.0,1.82,0.83,0.02,0.07,12.35,0.02,1
Tunisia,19340599.0,611149.0,191695.0,11532127,3317.5,2.3,1.29,1.68,0.05,0.02,100.89,0.03,2
Turkey,256703369.0,3568042.0,32770984.0,80745020,9126.6,2.81,1.75,3.18,0.04,0.41,7.83,0.01,1
Uganda,4270321.0,35405.0,544668.0,42862958,794.3,0.5,0.09,0.1,0.0,0.01,7.84,0.01,1
Ukraine,140631503.0,2630449.0,4756558.0,44831159,3659.0,8.8,3.0,3.14,0.06,0.11,29.57,0.02,3
United Arab Emirates,39861726.0,151549.0,30254113.0,9400145,43103.3,1.2,1.56,4.24,0.02,3.22,1.32,0.0,3
United Kingdom,389051873.0,17499686.0,83348027.0,66022273,42330.1,2.54,2.82,5.89,0.27,1.26,4.67,0.04,0
United States,3228496695.0,73071478.0,328405054.0,325719178,65297.5,2.77,2.57,9.91,0.22,1.01,9.83,0.02,0
Uruguay,3106163.0,36814.0,804508.0,3456750,16190.1,2.8,3.74,0.9,0.01,0.23,3.86,0.01,3
Vietnam,329208.0,6973.0,333691.0,95540800,2715.3,2.6,0.82,0.0,0.0,0.0,0.99,0.02,1
Zambia,5469924.0,96458.0,1044305.0,17094130,1305.1,2.0,0.09,0.32,0.01,0.06,5.24,0.02,1
Zimbabwe,3107748.0,98448.0,367631.0,16529904,1464.0,1.7,0.08,0.19,0.01,0.02,8.45,0.03,1
